fields	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40
gvar	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_2	group_2	group_2	group_2	group_2	group_2	group_3	group_3	group_3	group_3	group_3	group_3	group_3	group_4	group_4	group_4	group_4	group_4	group_4	group_4	group_4
Escherichia_fergusonii	0.00898542332936782	0.005675752809923	0.00104122548589431	0.00973724318489163	0.0107159154207122	0.00335215170137086	0.0110063877178378	0.00500491643496075	0.0036819063595673	0.00592798157180276	0.00832388499073666	0.00464491565654788	0.0125445940047899	0.0121144121015781	0.00682939613204409	0.00384398675918709	0.0069775379448904	0.00615210621487701	0.00534498912635638	0.0159516803965666	0.00176569393464836	0.00585035763770874	0.00494925186722568	0.0257889345397434	0.0079067888508553	0.0133382163775494	0.0151041424198334	0.00517625152890131	0.00540446091954687	0.00761743278565958	0.00575000535376492	0.0120586319733414	0.00117998134005098	0.00238389155747494	0.00130351809166795	0.000883831539821238	0.00393705396048083	0.00754713596440971	0.00159751970171007	0.00241336379600514
Prevotella_bergensis	0	0.000117752478444806	4.98295411739988e-05	4.977048457991e-05	5.77615355617247e-05	4.85648263577058e-05	0.000108453757585296	5.23152200529017e-05	3.75798461949718e-05	0.000153183006873515	3.54252151855042e-05	6.31603263825306e-05	0.000379057111805562	5.66393747264174e-05	4.05247401962362e-05	4.30570240650267e-05	4.46057035177885e-05	7.56661977381306e-05	4.15982548840971e-05	3.79710610940353e-05	0	4.22329470370395e-05	3.84518905409701e-05	3.75707203289163e-05	7.50431187419032e-05	6.30109559744871e-05	0.000170323271212096	3.67140539234862e-05	0.000103912038687986	4.53844592697881e-05	5.14374959685461e-05	8.42911481087524e-05	1.86144717431667e-05	1.43312900465191e-05	1.10137014892666e-05	1.49850760400907e-05	2.86852887183598e-05	1.75086169923606e-05	0.000105512205194597	1.56575326527445e-05
Weissella_paramesenteroides	8.44536673721838e-05	0	0	0	0.000179449849420101	9.89459116103928e-05	0	0	0	2.36475391906204e-05	0	0	0.000111481618824478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.81180805954846e-05	0	0	0	0	6.49840806783415e-06	0	6.39674150671259e-06	0	0	0	0	0
Lactobacillus_helveticus	0.00112802206578321	0.00315645877268871	0.00117797632664863	0.00076096534764152	0.00342037334271443	0.00130839853165249	0.00157268084124918	0.00105472511875889	0.00953733644647133	0.000797647602243611	0.00109488902366089	0.00108600626682762	0.0015986473742606	0.010509523798354	0.00247538128244318	0.000897283828478179	0.00162469924918426	0.014528280155606	0.000845397750369983	0.00132122953091274	0.00651432257124066	0.0011112453719234	0.00128273009697566	0.000373893267369005	0.00124672215340503	0.000859288361601527	0.000357946134116993	0.000565752232147958	0.000981170722891061	0.000463500836323476	0.000701965212743848	0.00182725998342725	0.000406504295324992	0.00048715221268079	0.00237529871942133	0.000975134651282701	0.000380346071180275	0.000540091281317566	0.00302423291749875	0.000156484392439998
Lactobacillus_amylolyticus	6.99800005950469e-05	5.24189557924971e-05	0.000100698925389013	6.41962024528966e-05	7.89580154287827e-05	7.8912543054708e-05	8.86447810871973e-05	5.30949608467587e-05	7.25657619182904e-05	5.54949748432526e-05	7.43369702378309e-05	0.000105132897753379	0.000454481811143864	7.97158701592424e-05	0.00210378897271406	7.10560593229117e-05	9.06090751595848e-05	0.00247643391736944	5.74486743143584e-05	0	2.85957554211014e-05	3.0251116611648e-05	7.29571589196952e-05	3.37136781414028e-05	0	2.86101411641287e-05	4.9364073845749e-05	5.65225246420759e-05	4.34264547823218e-05	5.94458617505408e-05	0.00105421180585127	4.26779607767458e-05	1.77133944586946e-05	1.81533458487175e-05	1.24476275575973e-05	0.000224542612175957	0.000191533819614791	1.64310617870124e-05	2.47390016891959e-05	2.36677377776791e-05
Bacteroides_sp._D20	0.000524641307895035	0.000830570742777464	0.000678140725839955	0.000291685912871645	0.00189958822396942	0.000781415624427476	0.00153625888428567	0.00133797178402408	0.00114852503201432	0.000521724484131856	0.00648161634808725	0.00283351925443371	0.000653181838852109	0.00416114945266406	0.00915595689071161	0.000882924054878545	0.000920738608065088	0.00114534515886447	0.00117933179839424	0.000778603168031482	0.0016785443835744	0.00266192582211873	0.000735362023498147	0.00136679142648299	0.000357625215346584	0.00103366541705448	0.000561043866056422	0.000494773437131556	0.000401380679373	0.00283845612777808	0.000723232766283183	0.000430069723971802	0.000200648431482422	0.000285604482073036	0.000413153240480463	0.000169338368498569	0.000173483922225143	0.00180653755266763	0.000414161339075616	0.000298393428584822
Bacteroides_sp._D22	0.00337867111446795	0.00182444390846843	0.00602223278049562	0.00226459975046607	0.00113859604395329	0.00229060070738102	0.0143638237153173	0.00391800347038175	0.00325254816403817	0.00192296623603525	0.00210961154159125	0.00152033030944451	0.00257698620953481	0.00189570366888949	0.00915012673833389	0.00297047272420381	0.0019953269824372	0.00560581289614601	0.00328677026625646	0.000234198162281156	0.00175846540513528	0.00100109045956196	0.00106337969239806	0.00297361089685574	0.0023387083743875	0.00164235759654062	0.00211480713629498	0.00240446901222474	0.001622086669994	0.00244602395454963	0.000591510512354023	0.000462171664682541	0.000880644439451165	0.00213159015889948	0.00069151636791754	0.000958398563088856	0.00172373116604495	0.000916593790712234	0.00191065391746566	0.00100566476614362
Dickeya_zeae	0.000170107617065783	7.60790847776889e-05	0.000478241939358979	0.000273630334350287	0.000672353499311596	0.000246146902380161	0.000870776645462605	0.000104696873938374	0.000562600595292256	0.000140168873144987	0.00143827076667811	0.00118054919802138	0.000215755119873089	0.00120667973442858	0.000472707520001084	8.59627265991054e-05	0.000297162470679129	0.000213869081290737	0.000931686183285367	0.000271076998675076	0.000309570122029982	0.000161314379040367	0.000772474668180809	0.000343370518935862	0.000239695750592808	0.000314744698966816	6.91806334349793e-05	0.000264099852618113	0.000360514565381428	5.86873614262223e-05	0.000198142583844312	0.000250332213234548	9.42021706606748e-05	0.000103142169071972	0.000128186425360085	9.61140402143791e-05	0.00024285011615317	0.000116614530941963	0.000364555785333228	0.000278474375453284
Catonella_morbi	2.80663766961734e-05	3.54696435975552e-05	0.000132446802300548	3.33632104685708e-05	0	3.85068415218832e-05	4.98311051456366e-05	0	0	3.63866251677856e-05	3.54069119357762e-05	0	0	0	0	0	0	0	3.92975134140618e-05	2.05050915466997e-05	0	0	0	0	0	3.57428166656336e-05	0	2.00349246596429e-05	0	0	2.12354518285308e-05	1.84641187952932e-05	9.0192777150469e-06	6.9710399582538e-06	3.14454558193711e-05	1.11760794141573e-05	0	7.56676915678122e-06	0	0
Eubacterium_saphenum	2.77729277801883e-05	0	0	0	0	0	8.35451247862031e-05	0	0	0	0	0	3.03327468113955e-05	0	0	0	0	0	0	1.85928113830621e-05	0	0	0	0	2.27770892776622e-05	2.58028073217068e-05	0	0	0	0	0	1.74011242937314e-05	0	0	0	0	1.25239450533304e-05	6.83377812196774e-06	0	0
Pantoea_sp._At-9b	0.00503407064134763	0.00255238679456634	0.00550984214840262	0.00380080683298072	0.00297756301109169	0.00141433799082912	0.00370345784961847	0.0016152619458533	0.00209733090680851	0.0028574450788243	0.0052408341483982	0.00237337086941296	0.00269397764709503	0.00255483311380136	0.00280387915920893	0.00436494305936468	0.002684108513228	0.00347931221507033	0.00807362244891304	0.00162625508569186	0.000768754392416317	0.000731175506757595	0.000818192385421952	0.00495661758149109	0.00057296108763803	0.0055127897120749	0.00362759163075523	0.0025636525047571	0.00425298402268407	0.00155097022250504	0.00164736424783455	0.0021092885541975	0.000348268290862115	0.000426505863115479	0.0021043934650845	0.000684871986765278	0.00239921352572362	0.00148028559432757	0.00186577750674682	0.000177902140996755
Tolumonas_auensis	2.94486862989644e-05	2.69406224104462e-05	3.52188430232704e-05	4.07949214111425e-05	2.72532882729591e-05	3.57188651340637e-05	5.59752028152208e-05	6.9555037310245e-05	6.90264568611462e-05	5.37077134858686e-05	4.34752154125421e-05	0	0	5.94529110573411e-05	7.5020308536252e-05	4.81732937076128e-05	0	8.56082751984426e-05	4.07683268309304e-05	1.81016554144642e-05	0	0	3.95657327199829e-05	3.4274255845934e-05	4.24815818217736e-05	0	2.17760241760124e-05	0	2.96658933854682e-05	2.21183772427848e-05	4.04979493084621e-05	4.50746781970309e-05	0	8.24693101840814e-06	0	0	1.29415355010233e-05	0	3.52978450132457e-05	0
Alicycliphilus_denitrificans	6.2660414473874e-05	0	0	0	7.08637395846762e-05	8.30260758840034e-05	0	0	0	0	0	0	0	0	0.000254782887748114	0	0.000275496101573892	0	0	0.000188232801180163	0	0	0	0	2.0900211378346e-05	0	0	0	0	0	4.90386619218365e-05	0	1.8769664555146e-05	0	0	0	0	0	0	2.73355155808137e-05
Streptococcus_salivarius	8.89441861553531e-05	4.82735786863371e-05	3.69873549840377e-05	0.000231188134178238	9.15296940412114e-05	0.000916471565558692	0.000338391165565236	5.16525472280192e-05	3.79181498662643e-05	5.58255447594002e-05	4.10458945156307e-05	5.96920237675161e-05	5.6028134850338e-05	0	8.33928149662904e-05	0.000224733210999967	7.01261774641325e-05	6.82533970017614e-05	5.18164679105653e-05	0	2.43494767388134e-05	2.60440458847495e-05	0	0	0.00018263246286086	3.83511565345974e-05	3.79201531335452e-05	0.000623988535596556	6.54209119571934e-05	2.90010925370254e-05	0.00012326376759992	3.32976241280692e-05	2.21727155752572e-05	0.00011855073947869	1.63748778869714e-05	1.89644369849072e-05	0.000106554221937917	2.13855735386898e-05	8.12171867530094e-05	0.000321177717930908
Porphyromonas_uenonis	5.68942756718256e-05	9.41568050102485e-05	0.000300962343719536	0.000386667740671412	2.21756670698719e-05	8.61796795611716e-05	4.54442991042244e-05	0.000114074686435489	5.8562256216599e-05	4.44218436995039e-05	0.00044553183967934	3.56238180098409e-05	0.000480592756945686	9.51652973772596e-05	6.38335582016089e-05	4.91288956980501e-05	0.000155754387264596	0.00020444818876193	7.04145742577269e-05	2.00965029376757e-05	3.21811888995585e-05	5.09165635657986e-05	3.92156286452606e-05	0	0	9.1939691396746e-05	0.0001551872812367	4.4128982895373e-05	4.02260429412097e-05	4.45575557244911e-05	2.39916181858303e-05	8.98013436823189e-05	9.19749733101789e-05	1.41463934231861e-05	0	1.48384721933981e-05	0	1.45499851889179e-05	1.52847891547896e-05	1.27243721904245e-05
Nautilia_profundicola	0	0	3.6661771988228e-05	0	2.64214878981849e-05	0	0	0	0	0	0	0	0	0	0	2.11422511156523e-05	0	0	6.74088052151605e-05	1.76748047817479e-05	0	0	0	0	0	0	0	0	2.79784205832268e-05	0	0	0	1.73262714825144e-05	0	0	0	1.32558500305652e-05	0	0	0
Oribacterium_sp._oral_taxon_078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75237451778073e-05	0	0	0	0	0	0	0	0	0	0	1.57713650557473e-05	0	0	0	0	0	0	1.876809798403e-05	0
Clostridium_saccharolyticum	0.000218195526584627	0.000197136492586258	3.31399634675902e-05	6.84141592632359e-05	0.000224961615186133	0.000104216269679009	9.19421986597312e-05	5.38164718456513e-05	0.000118027850618852	3.41032049135476e-05	5.30028031497614e-05	4.69602717392553e-05	6.55472344607192e-05	3.18647838820534e-05	3.81999851699609e-05	5.33764859542019e-05	0.000105096657457033	9.67062910022837e-05	4.76537262052842e-05	6.12187760572175e-05	3.46684650917192e-05	5.06877936258314e-05	8.31174400720497e-05	5.85629622279643e-05	7.4572271242316e-05	4.72987818742674e-05	6.90528186985828e-05	2.67549434405266e-05	0	2.4309959506523e-05	3.42443232027834e-05	2.0720394370995e-05	1.655045427624e-05	7.98131536644019e-06	8.12453776665979e-06	0	3.39242737072627e-05	3.12997826469455e-05	1.88750051187991e-05	0
Prevotella_sp._oral_taxon_472	0	2.98104894563448e-05	0	0	0.000141289889054407	3.26818093154383e-05	0	0	3.10123648848527e-05	0	0.000170345831386506	0	7.97213071326784e-05	0	0	7.46398531990878e-05	0	0	0	2.95086816542939e-05	4.4712308181647e-05	0	0	7.31424886339523e-05	0	0	7.00000244182826e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
